category,rating,num_reviews,brand_tier,price
furniture,4.9,770,1,561.61
furniture,4.8,303,1,694.35
furniture,4.0,1332,3,2064.5
food,3.4,190,1,9.87
food,5.0,178,1,21.14
beauty,3.5,148,2,156.76
sports,3.4,640,2,392.32
books,3.1,608,3,62.48
beauty,2.7,581,2,246.7
appliances,2.8,2345,3,1904.96
electronics,4.9,783,2,459.99
appliances,4.5,110,1,814.27
food,3.3,277,1,9.31
phone,5.0,469,1,296.74
appliances,3.7,1357,3,2910.92
furniture,4.4,827,3,1791.71
appliances,2.9,550,2,1279.23
beauty,3.8,2798,3,343.82
phone,3.3,130,1,522.46
beauty,3.3,1100,3,338.65
clothing,3.3,331,1,79.75
phone,4.5,538,3,1126.3
clothing,2.8,43,1,67.72
sports,4.2,546,2,369.34
food,4.1,412,2,39.76
food,4.4,2504,3,57.15
books,5.0,13,1,20.05
phone,3.5,715,2,686.7
electronics,3.9,147,1,82.33
food,2.9,1770,2,27.96
toys,4.0,1155,3,140.76
clothing,4.0,48,1,30.09
phone,4.6,45,1,748.3
furniture,2.1,757,3,1841.85
electronics,4.0,946,2,541.31
electronics,3.1,803,3,697.16
appliances,3.5,954,3,2032.69
beauty,4.2,758,3,277.19
furniture,4.0,593,2,1061.33
books,4.5,1256,3,86.48
electronics,3.6,912,1,219.82
books,4.3,1666,2,37.4
electronics,3.7,980,2,455.44
beauty,3.8,2602,3,379.46
phone,4.7,1845,3,1410.18
appliances,4.5,987,3,2770.34
books,4.0,1839,2,37.0
sports,4.3,357,2,233.63
clothing,4.0,636,1,106.26
clothing,3.8,2353,2,127.04
clothing,3.9,451,1,19.93
appliances,3.1,3351,2,1657.73
phone,4.0,1135,3,1405.51
furniture,3.9,403,1,330.19
appliances,1.9,318,1,232.09
phone,3.8,268,1,528.32
furniture,3.9,250,2,980.27
furniture,2.9,610,2,1705.62
appliances,3.4,84,1,451.5
furniture,3.0,410,2,1456.44
beauty,4.0,46,1,100.62
sports,4.5,694,2,412.65
food,2.8,465,1,33.22
toys,4.8,721,2,142.13
books,5.0,1798,3,95.82
books,4.7,106,1,30.94
sports,2.9,358,2,359.72
toys,4.6,624,2,82.65
beauty,3.1,747,1,144.68
clothing,3.8,268,2,113.07
clothing,5.0,215,2,170.93
electronics,3.6,1064,3,962.76
toys,4.8,1964,2,95.61
electronics,2.5,95,1,329.69
sports,4.4,160,2,229.7
food,3.8,1489,2,44.38
beauty,3.4,209,2,255.97
beauty,4.4,121,1,84.63
toys,4.1,2165,3,192.01
clothing,3.7,309,1,94.85
clothing,5.0,2028,3,230.26
beauty,4.3,716,3,407.88
phone,5.0,202,1,413.48
electronics,4.3,963,1,322.69
sports,3.5,641,3,384.91
clothing,3.1,253,2,158.11
sports,4.5,20,1,125.26
furniture,4.2,178,2,1277.14
phone,4.0,1440,2,1033.87
electronics,2.3,707,2,627.92
appliances,4.4,217,1,782.44
books,4.5,872,2,38.14
books,4.5,322,1,9.82
phone,4.1,969,3,1443.01
sports,3.8,1204,2,400.32
beauty,4.3,557,3,390.98
clothing,4.4,1329,3,273.36
food,3.1,909,2,39.91
sports,4.0,394,1,129.47
electronics,4.1,19,1,235.9
clothing,4.5,231,1,102.01
appliances,4.5,1057,3,2964.81
toys,4.7,2287,3,138.86
clothing,4.3,134,2,199.48
sports,4.2,1103,3,386.17
appliances,2.9,20,1,1060.14
clothing,4.2,732,1,35.95
toys,5.0,279,2,133.85
sports,3.6,4018,3,588.6
books,5.0,13,1,15.42
books,3.9,160,2,65.78
sports,4.5,161,1,140.95
books,4.5,580,2,45.37
electronics,3.4,899,3,840.98
clothing,4.5,996,2,202.34
sports,3.4,607,2,195.46
beauty,3.8,549,3,343.55
furniture,4.0,2563,2,1079.16
books,3.4,3147,3,84.62
books,4.8,239,2,48.19
food,3.5,149,2,47.9
food,4.0,1027,3,73.58
phone,4.1,1102,3,1040.46
furniture,3.3,1344,3,1603.3
beauty,4.3,213,1,32.05
clothing,4.6,303,2,165.31
furniture,3.1,105,2,1127.95
beauty,4.3,174,1,40.32
furniture,2.5,161,1,411.88
electronics,3.9,257,1,57.6
electronics,3.8,120,1,193.24
