review,is_fake
这个产品非常好，质量很棒！,0
很好！推荐！,1
手机电池续航两天，拍照很清晰，但充电有点慢,0
非常满意，五星好评,1
屏幕色彩鲜艳，运行流畅，但价格稍贵,0
质量好，物流快，客服态度好,1
用了两周，电池耐用，就是外壳容易沾指纹,0
不错，值得购买,1
快递很快，东西也不错，会再次购买,0
太棒了，完美，超级好,1
手机运行速度很快，打游戏不卡顿,0
很好很好很好,1
电池能用一整天，拍照效果一般般,0
推荐购买,1
屏幕很大很清晰，看视频很爽,0
东西收到了，还可以吧,0
质量差，不推荐,1
物流太慢了，等了一周,0
客服态度很好，解决问题很快,0
完美完美完美完美,1
手机发热严重，电池也不耐用,0
性价比很高，会回购,0
一般般，没什么特别的,0
太差了，浪费钱,1
外观很漂亮，性能也不错,0
好,1
运行流畅，内存足够,0
不好,1
拍照清晰，夜景模式很棒,0
还可以,1
充电速度快，半小时充满,0
不错,1
屏幕分辨率很高，色彩还原准确,0
满意,1
用了三天就坏了，质量堪忧,0
推荐,1
价格合理，功能齐全,0
很好,1
系统稳定，没有卡顿,0
质量好,1
外观一般，但性能强悍,0
完美,1
续航能力强，一天一充没问题,0
值得购买,1
手感不错，重量适中,0
棒,1
信号很好，通话清晰,0
